store_id,store_number,store_name,city,state,region_id,floor_plan_type,selling_square_footage,first_open_date
53,STR-0053,Georgetown Store #53,Arlington,IL,1,Supercenter,51308,2006-02-25
54,STR-0054,Greenville Store #54,Madison,NY,2,Compact,59735,2017-07-08
55,STR-0055,Fairview Store #55,Greenville,FL,4,Supercenter,33617,2018-09-04
56,STR-0056,Fairview Store #56,Greenville,IL,5,Compact,22139,2015-07-17
57,STR-0057,Franklin Store #57,Franklin,CA,4,Compact,29764,2017-03-20
58,STR-0058,Clinton Store #58,Riverside,IL,1,Express,46378,2020-06-12
59,STR-0059,Fairview Store #59,Franklin,FL,4,Compact,57696,2007-01-19
60,STR-0060,Georgetown Store #60,Riverside,CA,2,Express,25979,2019-03-29
61,STR-0061,Salem Store #61,Clinton,TX,4,Compact,-25771,2005-10-28
62,STR-0062,Greenville Store #62,Franklin,NY,999,Compact,48969,2013-02-11
63,STR-0063,Clinton Store #63,Greenville,NY,999,Supercenter,40365,2020-12-02
64,STR-0064,Madison Store #64,Clinton,IL,3,Supercenter,47229,2020-10-27
65,STR-0065,Fairview Store #65,Fairview,CA,4,Compact,42274,2022-05-01
66,STR-0066,Georgetown Store #66,Greenville,IL,4,Express,56170,2012-09-28
67,STR-0067,Franklin Store #67,Franklin,NY,4,Express,45302,2020-10-26
68,STR-0068,Franklin Store #68,Fairview,New York,4,Compact,46868,2005-05-06
69,STR-0069,Springfield Store #69,Fairview,NY,4,Supercenter,51978,2013-07-11
70,STR-0070,Springfield Store #70,Salem,NY,1,Supercenter,21897,2020-07-26
71,STR-0071,Arlington Store #71,Arlington,FL,1,Express,59943,2008-12-05
72,STR-0072,Franklin Store #72,Salem,IL,2,Compact,38850,2023-01-18
73,STR-0073,Georgetown Store #73,Arlington,TX,4,Express,51667,2009-06-20
74,STR-0074,Fairview Store #74,Salem,IL,4,Supercenter,59741,2017-09-11
75,STR-0075,Franklin Store #75,Salem,CA,1,Supercenter,22186,2011-12-06
76,STR-0076,Fairview Store #76,Madison,TX,1,Supercenter,36840,2011-02-11
77,STR-0077,Riverside Store #77,Fairview,IL,3,Compact,20912,2007-01-10
78,STR-0078,Greenville Store #78,Fairview,CA,9999,Supercenter,41496,2018-11-24
79,STR-0079,Madison Store #79,Georgetown,TX,4,Compact,55228,2007-03-08
80,STR-0080,Greenville Store #80,Greenville,NY,1,Compact,22144,2014-02-26
81,STR-0081,Riverside Store #81,Springfield,TX,5,Express,28005,2011-03-11
82,STR-0082,Greenville Store #82,Arlington,FL,2,Supercenter,33576,2023-08-12
83,STR-0083,Greenville Store #83,Springfield,TX,2,Supercenter,28637,2019-10-30
84,STR-0084,Clinton Store #84,Madison,IL,1,Compact,51211,2021-09-22
85,STR-0085,Georgetown Store #85,Madison,FL,5,Supercenter,23986,2019-06-07
86,STR-0086,Georgetown Store #86,Fairview,CA,4,Compact,55937,2011-03-03
87,STR-0087,Madison Store #87,Riverside,NY,3,Express,34974,2014-08-25
88,STR-0088,Riverside Store #88,Clinton,TX,4,Compact,25594,2006-07-04
89,STR-0089,Fairview Store #89,Arlington,NY,1,Supercenter,23371,2019-12-04
90,STR-0090,Arlington Store #90,Clinton,CA,4,Compact,44088,2023-12-18
91,STR-0091,Salem Store #91,Franklin,NY,4,Compact,37909,2005-08-26
92,STR-0092,Madison Store #92,Salem,CA,4,Express,34098,09/26/2021
93,STR-0093,Georgetown Store #93,Madison,NY,2,Supercenter,25346,2008-07-13
94,STR-0094,Springfield Store #94,Arlington,TX,1,Supercenter,54533,2011-05-10
95,STR-0095,Franklin Store #95,Clinton,CA,4,Compact,20506,2012-05-11
96,STR-0096,Arlington Store #96,Georgetown,NY,2,Supercenter,50130,2014-10-14
97,STR-0097,Greenville Store #97,Georgetown,TX,1,Express,25775,2015-04-28
98,STR-0098,Riverside Store #98,Greenville,TX,2,Compact,25005,2022-06-23
99,STR-0099,Riverside Store #99,Madison,CA,5,Compact,31370,2010-09-28
100,STR-0100,Madison Store #100,Fairview,FL,1,Express,29893,2019-01-26
