transaction_id,transaction_number,store_id,employee_id,payment_method_id,transaction_timestamp
236,TXN-500236,67,31,6,2025-06-18 19:58:00
237,TXN-500237,33,135,4,2025-08-26 15:30:00
238,TXN-500238,99,32,7,2024-03-06 17:12:00
239,TXN-500239,95,150,4,2024-08-16 05:14:00
240,TXN-500240,55,61,2,2025-08-09 19:06:00
241,TXN-500241,36,55,4,2024-04-15 01:26:00
242,TXN-500242,63,15,5,2024-10-24 08:52:00
243,TXN-500243,41,29,5,2024-09-29 20:26:00
244,TXN-500244,36,64,7,2024-11-04 14:06:00
245,TXN-500245,40,95,1,2024-04-15 12:30:00
246,TXN-500246,95,9,6,2025-04-14 23:08:00
247,TXN-500247,33,62,5,2025-08-04 18:30:00
248,TXN-500248,88,93,1,2024-10-07 02:56:00
249,TXN-500249,50,114,1,2025-01-24 12:14:00
250,TXN-500250,39,66,1,2024-10-13 03:44:00
251,TXN-500251,9999,77,7,2025-08-22 01:51:00
252,TXN-500252,99,82,6,2024-04-26 16:10:00
253,TXN-500253,11,71,7,2024-10-22 20:24:00
254,TXN-500254,95,121,4,2025-07-21 13:59:00
255,TXN-500255,13,109,7,2025-09-04 12:23:00
256,TXN-500256,9,130,3,2024-04-26 18:12:00
257,TXN-500257,95,141,3,2024-11-02 11:14:00
258,TXN-500258,83,14,6,2024-11-26 01:19:00
259,TXN-500259,1,35,4,2024-05-13 19:04:00
260,TXN-500260,74,81,1,2024-05-25 16:34:00
261,TXN-500261,92,133,7,2024-03-21 16:51:00
262,TXN-500262,77,34,6,2025-08-27 20:09:00
263,TXN-500263,58,82,4,2024-10-25 18:47:00
264,TXN-500264,88,45,5,2025-06-19 08:03:00
265,TXN-500265,26,73,1,2025-08-25 00:49:00
266,TXN-500266,49,101,7,2024-10-28 19:51:00
267,TXN-500267,72,6,6,2025-02-19 08:17:00
268,TXN-500268,60,23,2,2025-03-21 15:31:00
269,TXN-500269,7,44,4,2024-07-09 14:59:00
270,TXN-500270,20,67,1,2025-03-26 00:24:00
271,TXN-500271,16,146,1,2024-09-24 21:52:00
272,TXN-500272,87,117,4,2025-06-07 06:09:00
273,TXN-500273,25,53,7,2024-03-27 07:09:00
274,TXN-500274,96,74,4,2025-08-15 07:24:00
275,TXN-500275,77,53,2,2024-10-05 05:13:00
276,TXN-500276,54,49,2,2025-08-23 01:59:00
277,TXN-500277,38,8,3,2024-10-24 11:28:00
278,TXN-500278,48,64,5,2024-06-20 11:24:00
279,TXN-500279,2,22,4,2025-05-13 06:26:00
280,TXN-500280,88,102,2,2024-04-06 23:55:00
281,TXN-500281,95,109,5,2025-06-03 10:26:00
282,TXN-500282,72,,1,2024-07-05 13:52:00
283,TXN-500283,61,61,3,2024-02-07 22:44:00
284,TXN-500284,1,12,3,2025-03-17 13:09:00
285,TXN-500285,51,78,6,2025-01-02 09:30:00
286,TXN-500286,6,144,5,2024-09-27 01:58:00
287,TXN-500287,64,129,3,2024-05-10 14:45:00
288,TXN-500288,91,82,5,2024-12-06 20:22:00
289,TXN-500289,41,30,1,2024-11-11 05:59:00
290,TXN-500290,96,72,3,2024-04-03 02:42:00
291,TXN-500291,79,68,7,2024-11-09 04:17:00
292,TXN-500292,41,133,4,2025-07-08 13:17:00
293,TXN-500293,98,126,2,2024-04-30 03:18:00
294,TXN-500294,7,113,2,2025-02-08 15:07:00
295,TXN-500295,24,,1,2024-04-18 05:20:00
296,TXN-500296,56,120,1,2024-12-08 10:10:00
297,TXN-500297,46,,6,2024-12-26 09:11:00
298,TXN-500298,15,127,7,2025-02-12 09:38:00
299,TXN-500299,45,32,1,2025-06-08 02:47:00
300,TXN-500300,22,47,6,2024-05-28 08:30:00
301,TXN-500251,85,145,5,2025-01-05 10:50:00
302,TXN-500302,68,2,7,2024-06-03 15:53:00
303,TXN-500303,32,20,7,2025-02-19 15:14:00
304,TXN-500304,4,85,3,2024-12-28 17:07:00
305,TXN-500305,51,32,3,2025-05-11 02:47:00
306,TXN-500306,42,28,2,2025-03-05 20:54:00
307,TXN-500307,91,,6,2024-01-22 00:37:00
308,TXN-500308,77,69,6,2024-12-15 10:04:00
309,TXN-500309,84,12,5,2024-01-05 05:27:00
310,TXN-500310,17,146,2,2024-11-25 22:31:00
311,TXN-500311,42,73,7,2024-02-05 10:47:00
312,TXN-500312,78,141,4,2024-02-10 10:32:00
313,TXN-500313,31,46,7,2024-03-08 09:26:00
314,TXN-500314,27,,2,2024-10-17 11:35:00
315,TXN-500315,83,73,7,2024-10-09 21:34:00
316,TXN-500316,63,77,7,2025-04-21 06:36:00
317,TXN-500317,88,80,5,2024-11-10 20:00:00
318,TXN-500318,48,25,5,2024-04-05 14:24:00
319,TXN-500319,61,100,3,2024-05-25 13:00:00
320,TXN-500320,97,24,4,2025-02-14 00:08:00
321,TXN-500321,56,48,6,2025-08-13 13:09:00
322,TXN-500322,66,,3,2024-11-06 05:11:00
323,TXN-500323,64,40,5,2024-12-03 12:41:00
324,TXN-500324,38,22,4,2025-04-03 10:21:00
325,TXN-500325,62,,3,2024-11-14 11:20:00
326,TXN-500326,32,77,5,2024-04-18 05:05:00
327,TXN-500327,71,13,1,2024-11-07 11:09:00
328,TXN-500328,55,131,4,2024-02-02 20:05:00
329,TXN-500329,33,146,3,2024-03-09 19:14:00
330,TXN-500330,3,129,1,2024-07-04 14:00:00
331,TXN-500331,24,46,7,2025-06-23 05:27:00
332,TXN-500332,54,,6,2024-10-13 03:25:00
333,TXN-500333,97,117,6,2024-08-04 17:46:00
334,TXN-500334,44,68,7,2024-11-23 15:24:00
335,TXN-500335,11,48,6,2025-08-12 19:52:00
336,TXN-500336,56,28,5,2025-03-15 20:35:00
337,TXN-500337,15,,1,2024-01-14 01:05:00
338,TXN-500338,89,118,4,2024-05-05 01:17:00
339,TXN-500339,39,125,5,2025-04-23 22:26:00
340,TXN-500340,89,93,6,2025-08-15 02:31:00
341,TXN-500341,12,78,2,2025-05-17 15:45:00
342,TXN-500342,15,,7,2024-04-08 09:17:00
343,TXN-500343,4,49,2,2024-01-12 13:36:00
344,TXN-500344,56,62,7,2024-12-16 08:07:00
345,TXN-500345,25,138,1,2025-03-31 21:10:00
346,TXN-500346,61,38,4,2024-08-07 02:55:00
347,TXN-500347,95,40,6,2024-01-16 21:16:00
348,TXN-500348,3,121,7,2024-11-20 05:35:00
349,TXN-500349,38,52,5,2024-11-23 07:51:00
350,TXN-500350,43,14,1,2025-08-26 23:42:00
351,TXN-500351,54,111,7,2027-03-15 10:00:00
352,TXN-500352,38,142,1,2024-12-26 23:02:00
353,TXN-500353,76,132,6,2024-12-20 23:37:00
354,TXN-500354,30,125,6,2025-03-21 06:39:00
355,TXN-500355,74,109,3,2024-02-14 04:53:00
356,TXN-500356,83,,4,2025-02-06 20:50:00
357,TXN-500357,58,89,6,2024-12-10 16:10:00
358,TXN-500358,37,,6,2024-11-13 15:40:00
359,TXN-500359,30,113,5,2024-05-19 22:57:00
360,TXN-500360,78,87,7,2024-06-08 23:34:00
361,TXN-500361,17,120,3,2025-09-05 11:10:00
362,TXN-500362,87,107,6,2025-06-10 11:15:00
363,TXN-500363,21,121,5,2025-06-18 21:47:00
364,TXN-500364,86,23,4,2024-05-30 21:13:00
365,TXN-500365,78,41,4,2024-04-04 00:07:00
366,TXN-500366,39,127,2,2024-03-14 11:25:00
367,TXN-500367,46,5,3,2024-06-01 12:06:00
368,TXN-500368,65,45,1,2024-09-16 23:47:00
369,TXN-500369,56,,1,2025-08-10 12:07:00
370,TXN-500370,29,144,4,2025-03-25 16:41:00
371,TXN-500371,99,91,1,2024-07-06 17:46:00
372,TXN-500372,20,69,7,2025-07-14 18:23:00
373,TXN-500373,91,27,1,2025-05-17 12:59:00
374,TXN-500374,14,29,7,2024-11-14 19:34:00
375,TXN-500375,72,27,1,2025-03-20 14:31:00
376,TXN-500376,27,31,3,2025-01-04 09:48:00
377,TXN-500377,98,114,5,2024-04-24 08:20:00
378,TXN-500378,20,26,6,2024-12-28 22:00:00
379,TXN-500379,16,36,7,2024-09-21 20:45:00
380,TXN-500380,99,107,7,2024-05-27 00:17:00
381,TXN-500381,44,9999,3,2024-01-05 19:07:00
382,TXN-500382,48,69,6,2025-01-02 17:54:00
383,TXN-500383,20,63,7,2025-07-03 15:52:00
384,TXN-500384,18,59,7,2025-07-02 16:29:00
385,TXN-500385,59,105,7,2024-11-08 06:13:00
386,TXN-500386,4,93,4,2025-01-10 20:28:00
387,TXN-500387,9,133,1,2024-04-16 00:16:00
388,TXN-500388,56,43,1,2024-09-03 08:17:00
389,TXN-500389,74,39,1,2024-10-13 08:49:00
390,TXN-500390,38,134,4,2025-04-04 22:08:00
391,TXN-500391,39,142,6,2024-10-19 17:30:00
392,TXN-500392,2,89,7,2025-06-24 19:34:00
393,TXN-500393,90,38,4,2024-07-22 17:31:00
394,TXN-500394,80,140,7,2024-11-20 21:43:00
395,TXN-500395,84,89,4,2025-03-26 03:36:00
396,TXN-500396,11,78,1,2025-07-18 15:06:00
397,TXN-500397,67,33,5,2025-01-26 08:19:00
398,TXN-500398,71,131,3,2024-07-25 17:59:00
399,TXN-500399,3,41,1,2025-01-14 15:00:00
400,TXN-500400,31,67,7,2025-08-03 01:34:00
401,TXN-500401,9999,109,1,2025-07-17 17:23:00
402,TXN-500402,48,,3,2025-06-17 00:23:00
403,TXN-500403,7,32,7,2025-04-01 13:26:00
404,TXN-500404,39,115,5,2025-04-19 00:23:00
405,TXN-500405,44,,2,2025-06-20 13:32:00
406,TXN-500406,73,149,6,2025-08-09 11:10:00
407,TXN-500407,45,60,3,2025-04-02 02:37:00
408,TXN-500408,87,147,2,2024-07-26 04:37:00
409,TXN-500409,14,64,3,2025-06-04 04:11:00
410,TXN-500410,59,93,1,2025-01-11 01:38:00
411,TXN-500411,11,106,999,2024-04-16 17:12:00
412,TXN-500412,61,34,2,2024-02-15 06:54:00
413,TXN-500413,87,,5,2024-11-20 21:16:00
414,TXN-500414,100,133,4,2024-10-20 06:37:00
415,TXN-500415,57,109,6,2024-07-11 00:22:00
416,TXN-500416,21,107,2,2024-12-22 11:21:00
417,TXN-500417,17,118,6,2025-01-03 07:14:00
418,TXN-500418,89,31,2,2025-01-08 16:33:00
419,TXN-500419,72,41,3,2024-11-27 15:15:00
420,TXN-500420,15,105,1,2024-03-27 11:35:00
421,TXN-500421,67,11,2,2024-09-26 02:58:00
422,TXN-500422,39,96,3,2024-03-26 17:41:00
423,TXN-500423,19,,2,2024-12-19 20:09:00
424,TXN-500424,40,13,3,2025-07-24 17:46:00
425,TXN-500425,1,126,1,2024-06-05 23:33:00
426,TXN-500426,54,12,4,2025-02-02 16:54:00
427,TXN-500427,44,116,7,2025-02-21 06:56:00
428,TXN-500428,98,34,2,2024-10-01 17:53:00
429,TXN-500429,86,116,4,2025-01-02 13:23:00
430,TXN-500430,12,84,7,2024-04-18 11:39:00
431,TXN-500431,50,105,2,2025-03-30 22:39:00
432,TXN-500432,86,12,4,2024-10-14 22:03:00
433,TXN-500433,22,23,6,2025-06-19 21:00:00
434,TXN-500434,72,80,6,2024-01-19 01:28:00
435,TXN-500435,25,22,5,2024-03-31 03:14:00
436,TXN-500436,73,14,5,2025-01-29 13:14:00
437,TXN-500437,3,129,1,2024-05-17 21:55:00
438,TXN-500438,3,47,3,2025-04-24 07:49:00
439,TXN-500439,57,149,1,2025-07-26 21:34:00
440,TXN-500440,52,83,5,2025-08-10 13:58:00
441,TXN-500441,44,6,4,2024-02-02 18:08:00
442,TXN-500442,41,136,4,2024-05-11 10:36:00
443,TXN-500443,13,,5,2024-07-06 06:30:00
444,TXN-500444,33,47,7,2024-05-02 10:44:00
445,TXN-500445,87,105,2,2024-03-06 06:22:00
446,TXN-500446,24,84,1,2024-02-12 21:35:00
447,TXN-500447,50,,1,2025-06-03 09:49:00
448,TXN-500448,34,83,4,2024-08-21 01:07:00
449,TXN-500449,26,14,2,2025-08-25 17:49:00
450,TXN-500450,64,61,5,2025-07-01 16:29:00
451,TXN-500451,35,30,1,2025-07-01 20:58:00
452,TXN-500452,9,105,4,2024-08-19 19:19:00
453,TXN-500453,3,60,3,2024-01-22 01:10:00
454,TXN-500454,32,26,7,2025-02-07 11:10:00
455,TXN-500455,39,33,5,2025-02-07 22:12:00
456,TXN-500456,27,129,7,2024-10-23 04:24:00
457,TXN-500457,32,44,5,2024-04-13 16:02:00
458,TXN-500458,58,143,1,2024-11-04 13:36:00
459,TXN-500459,84,75,2,2024-01-01 17:29:00
460,TXN-500460,62,,3,2024-01-01 09:29:00
461,TXN-500461,45,98,7,2025-03-11 08:29:00
462,TXN-500462,37,131,1,2025-04-05 08:37:00
463,TXN-500463,9,145,3,2024-04-27 12:57:00
464,TXN-500464,18,32,6,2024-03-06 07:53:00
465,TXN-500465,27,111,5,2025-02-09 05:10:00
466,TXN-500466,88,82,3,2025-01-02 14:22:00
467,TXN-500467,35,116,2,2025-04-07 12:23:00
468,TXN-500468,27,88,4,2025-04-27 06:07:00
469,TXN-500469,83,35,1,2025-03-12 13:15:00
470,TXN-500470,87,3,2,2025-03-19 07:19:00
471,TXN-500471,98,126,4,10/27/2024 20:32
472,TXN-500472,84,,6,2025-01-26 20:31:00
473,TXN-500473,87,114,1,2024-02-26 10:48:00
474,TXN-500474,77,97,3,2024-09-14 01:01:00
475,TXN-500475,16,3,4,2024-10-08 14:57:00
476,TXN-500476,2,114,2,2024-09-26 18:37:00
477,TXN-500477,36,,6,2025-06-25 03:23:00
478,TXN-500478,79,24,6,2025-05-31 10:07:00
479,TXN-500479,30,57,4,2024-08-08 18:25:00
480,TXN-500480,64,,6,2024-09-21 07:52:00
481,TXN-500481,26,2,7,2025-05-29 19:09:00
482,TXN-500482,73,72,5,2025-04-09 21:28:00
483,TXN-500483,85,50,6,2024-12-25 17:28:00
484,TXN-500484,23,145,1,2025-02-15 22:26:00
485,TXN-500485,17,17,3,2025-03-04 06:55:00
486,TXN-500486,94,134,7,2025-02-18 23:46:00
487,TXN-500487,89,6,6,2024-07-18 18:13:00
488,TXN-500488,59,144,1,2025-01-23 01:49:00
489,TXN-500489,42,14,4,2024-11-07 00:21:00
490,TXN-500490,16,71,6,2025-09-06 19:56:00
491,TXN-500491,67,93,7,2025-01-12 09:51:00
492,TXN-500492,7,58,3,2024-02-01 15:36:00
493,TXN-500493,1,81,4,2024-11-01 21:07:00
494,TXN-500494,4,147,6,2024-05-21 17:01:00
495,TXN-500495,10,109,2,2024-06-13 07:08:00
496,TXN-500496,9,80,6,2024-05-23 08:40:00
497,TXN-500497,62,,4,2025-03-31 07:49:00
498,TXN-500498,81,,3,2025-08-11 09:51:00
499,TXN-500499,61,28,2,2025-09-04 00:56:00
