transaction_item_id,transaction_id,product_id,promotion_id,sales_quantity,regular_unit_price,discount_unit_price
130,41,179,,6,11.48,0
131,42,66,,2,8.78,0
132,42,4,,4,41.75,0
133,43,181,14,2,56.82,8.84
134,43,110,,6,43.76,0
135,43,98,,6,8.49,0
136,43,23,,2,1.99,0
137,44,192,,1,13.75,0
138,44,44,23,4,32.23,0.02
139,44,135,,2,43.44,0
140,45,48,4,4,45.58,2.71
141,45,146,6,2,47.48,2.64
142,45,67,,5,53.98,0
143,46,163,9,1,25.62,2.25
144,47,8,,1,7.57,0
145,47,3,,1,7.44,0
146,47,25,17,3,5.22,1.24
147,48,122,22,3,36.28,6.58
148,48,81,,4,35.5,0
149,48,157,4,1,2.87,0.31
150,48,117,,2,13.29,0
151,49,155,,0,22.36,0
152,50,116,,4,24.85,0
153,50,170,,3,28.71,0
154,50,5,,6,39.99,0
155,51,174,,5,3.37,0
156,51,21,,4,8.61,0
157,51,169,,3,16.37,0
158,52,50,,6,51.01,0
159,52,130,27,6,30.11,4.5
160,52,141,,1,15.93,0
161,52,124,25,6,23.99,1.73
162,52,180,,2,27.5,0
163,53,99,16,6,4.75,0.31
164,53,32,,4,13.66,0
165,53,24,19,5,14.7,1.47
166,54,165,,6,29.2,0
167,55,168,,2,19.42,0
168,55,58,11,6,39.45,3.44
169,55,152,12,2,44.93,10.04
170,55,81,2,5,38.07,6.59
171,56,49,12,6,21.78,6.4
172,56,33,13,1,20.39,3.68
173,56,138,,3,27.76,0
174,56,57,,2,26.5,0
175,56,192,,5,18.59,0
176,57,80,28,6,40.82,8.43
177,57,147,,6,8.53,0
178,57,97,23,2,27.62,6.71
179,58,180,,4,42.65,0
180,58,187,,2,30.84,0
181,59,141,,3,11.35,0
182,60,101,30,2,8.03,1.75
183,60,180,25,5,45.48,5.37
184,60,14,,2,8.19,0
185,60,148,5,2,18.45,3.85
186,61,192,28,5,13.6,2.66
187,61,27,14,6,17.55,5.2
188,62,15,2,1,33.75,9.86
189,62,132,,6,33.22,0
190,63,63,,6,1.84,0
191,63,153,23,6,39.08,7.65
192,63,169,,4,9.89,0
193,63,71,4,1,31.81,4.25
194,64,126,19,5,31.69,8.64
195,65,123,,2,29.65,0
196,65,99,,5,4.03,0
197,65,33,,5,15.04,0
198,65,48,27,5,37.96,7.98
199,65,136,,6,6.64,0
200,66,193,,2,11.17,0
201,67,178,,1,,0
202,67,11,18,3,15.26,0.94
203,67,193,,3,6.8,0
204,67,140,,2,17.26,0
205,67,77,,3,39.29,0
206,68,114,30,3,15.96,2.35
207,68,156,27,1,6.87,0.43
208,68,61,,2,26.76,0
209,68,35,5,6,29.59,1.92
210,68,160,21,2,29.17,4.81
211,69,117,,6,7.94,0
212,69,37,,6,4.37,0
213,69,179,,6,11.35,0
214,69,131,26,4,25.91,3.26
215,70,7,18,1,11.2,0.83
216,70,176,,3,32.01,0
217,70,86,,3,24.73,0
218,70,3,,1,11.93,0
219,71,135,,4,52.46,0
220,71,25,,5,6.5,0
221,72,156,25,4,5.01,0.07
222,72,47,,5,42.5,0
223,72,142,,2,46.41,0
224,73,3,19,6,59.89,11.81
225,73,69,,6,13.78,0
226,73,200,,2,6.28,0
227,74,91,14,5,1.69,0.25
228,74,184,28,1,37.44,9.14
229,74,79,3,1,16.13,1.51
230,74,187,,1,27.66,0
231,75,142,14,6,55.68,13.5
232,75,131,,6,30.94,0
233,75,174,,5,4.35,0
234,76,191,,3,2.33,0
235,76,63,,5,3.42,0
236,77,11,,5,21.28,0
237,77,58,12,1,36.97,4.07
238,77,109,,3,25.73,0
239,77,174,,1,2.94,0
240,77,75,24,6,37.06,3.26
241,78,101,,6,9.04,0
242,78,132,,5,36.59,0
243,78,125,,3,14.57,0
244,78,91,,4,1.07,0
245,78,91,17,5,0.98,0.13
246,79,106,22,3,23.63,3.46
247,79,58,29,2,45.67,5.13
248,80,69,,2,14.46,0
249,80,36,28,6,5.97,0.78
250,80,51,14,6,41.62,3.56
251,80,85,16,6,32.93,49.39
252,80,69,,6,14.58,0
253,81,84,24,6,54.04,12.65
254,81,100,,2,16.38,0
255,82,89,22,3,6.06,1.4
256,82,110,,3,67.45,0
257,83,125,,6,14.89,0
258,83,131,9,6,19.49,1.64
259,83,64,,1,10.6,0
260,84,157,,6,3.19,0
261,84,39,7,2,1.45,0.06
262,84,110,,4,36.06,0
263,84,105,,2,49.41,0
264,84,87,,1,48.69,0
265,85,29,14,2,7.37,0.62
266,85,82,22,6,62.46,3.41
267,85,83,,1,10.26,0
268,86,48,4,1,34.06,5.02
269,86,172,,3,34.78,0
270,86,93,,5,34.53,0
271,86,155,13,1,26.97,5.26
272,87,34,30,6,35.0,6.32
273,88,50,18,5,50.81,14.11
274,88,88,,5,15.64,0
275,89,12,,5,17.8,0
276,89,89,,4,7.57,0
277,90,124,,1,20.64,0
278,91,154,19,1,19.3,5.6
279,91,178,,5,30.32,0
280,92,20,25,4,43.74,9.85
281,92,103,19,2,57.92,3.6
282,92,152,,4,39.58,0
283,92,129,8,3,17.82,2.81
284,92,182,18,2,18.22,0.65
285,93,11,5,3,21.69,6.13
286,93,14,,5,7.31,0
287,93,30,,3,19.46,0
288,94,22,5,4,43.75,11.6
289,94,157,,1,3.47,0
290,94,92,1,5,45.21,13.09
291,95,28,,3,53.85,0
292,95,161,,2,26.49,0
293,95,84,,4,39.83,0
294,95,40,,2,26.76,0
295,95,123,28,2,25.72,1.4
296,96,146,,1,39.38,0
297,96,80,20,2,32.08,1.71
298,97,37,,4,3.12,0
299,98,186,,5,35.28,0
300,99,97,27,6,35.48,1.17
301,100,34,21,-5,27.21,0.68
302,101,3,23,1,54.75,12.09
303,102,36,,2,6.49,0
304,102,79,23,3,15.32,0.71
305,103,32,,1,8.63,0
306,103,131,8,1,30.23,3.77
307,103,59,,2,13.9,0
308,103,176,,1,28.8,0
309,103,126,10,3,23.02,0.76
310,104,158,,1,40.98,0
311,105,155,6,6,22.89,2.94
312,106,39,,3,2.18,0
313,106,90,,3,10.34,0
314,106,68,1,2,66.46,14.18
315,106,200,24,4,8.2,0.79
316,107,29,3,3,9.05,2.61
317,108,47,,4,55.06,0
318,108,178,,2,48.95,0
319,109,99,,5,3.86,0
320,109,138,,4,27.31,0
321,110,148,3,2,28.1,6.84
322,110,93,18,4,20.56,6.13
323,110,35,28,2,35.19,0.63
324,110,76,,4,43.65,0
325,110,63,,1,2.13,0
326,111,97,,1,43.92,0
327,111,180,,5,27.89,0
328,112,8,1,5,5.58,0.24
329,112,107,,6,18.04,0
330,113,179,,4,13.34,0
331,113,166,29,6,28.96,2.49
332,113,9,13,4,43.94,2.29
333,113,175,,3,29.33,0
334,113,147,,2,8.66,0
335,114,24,7,4,12.56,3.68
336,114,159,,5,19.11,0
337,114,155,,3,35.69,0
338,115,98,,2,6.35,0
339,115,70,,3,35.27,0
340,115,8,7,5,6.0,0.29
341,115,3,,1,50.96,0
342,116,69,26,4,14.17,2.42
343,116,12,12,3,16.63,0.47
344,117,129,,2,12.72,0
345,117,180,,5,41.22,0
346,117,26,26,4,6.01,1.4
347,117,123,5,6,36.49,9.33
348,118,21,,2,11.83,0
349,118,175,17,5,25.08,5.78
350,118,187,,4,35.37,0
351,118,34,,4,29.07,0
352,119,183,20,5,33.19,3.86
353,120,40,1,2,28.87,8.61
354,121,141,,4,15.01,0
355,121,25,3,3,6.2,0.32
356,121,148,25,4,21.86,0.59
357,122,122,,2,40.65,0
358,122,32,10,4,16.05,2.35
359,122,105,12,5,59.61,16.4
360,123,81,,3,27.22,0
361,123,175,26,2,16.26,4.77
362,123,180,,3,44.66,0
363,123,97,13,4,30.02,3.6
364,123,172,,4,37.31,0
365,124,22,,4,27.23,0
366,125,52,20,4,32.7,0.63
367,125,55,2,5,21.92,3.13
368,125,40,19,1,35.55,1.55
369,125,154,,4,26.41,0
370,126,55,,6,13.96,0
371,126,109,3,3,22.05,4.21
372,126,104,,4,16.06,0
373,126,135,2,1,37.57,10.07
374,127,88,14,4,23.11,2.06
375,127,122,,4,31.92,0
376,127,91,,5,1.8,0
377,127,153,,2,24.58,0
378,128,171,,6,67.06,0
379,128,188,,2,41.54,0
380,128,128,,4,44.13,0
381,129,134,,2,25.78,0
382,129,163,7,6,31.43,9.14
383,129,49,13,2,16.96,2.78
384,130,54,,1,71.94,0
385,130,95,,5,35.17,0
386,130,32,,4,13.93,0
387,131,91,,3,1.72,0
388,131,30,18,5,36.05,4.96
389,131,42,,6,32.59,0
390,132,163,,1,28.03,0
391,132,23,,5,3.15,0
392,132,106,,5,23.23,0
393,132,26,,6,6.51,0
394,133,108,,1,3.61,0
395,133,51,26,4,67.62,19.28
396,133,106,,4,38.97,0
397,134,96,22,3,54.49,8.3
398,135,107,,1,25.7,0
399,135,4,,5,38.6,0
400,135,190,,4,11.57,0
401,99999,143,,1,56.35,0
402,136,148,24,2,22.85,6.44
403,137,82,26,2,50.53,6.63
404,137,130,25,6,32.45,5.62
405,137,67,3,1,50.18,2.39
406,137,7,,1,8.32,0
407,138,182,,1,21.93,0
408,138,191,,3,3.88,0
409,138,48,18,2,33.74,9.09
410,138,186,,6,40.83,0
411,138,14,,6,5.75,0
412,139,27,5,3,11.89,3.31
413,139,68,,3,69.4,0
414,139,54,3,4,52.1,7.67
415,139,161,11,6,17.88,3.69
416,139,116,6,6,27.63,1.49
417,140,162,,3,19.79,0
418,140,124,17,6,28.56,5.14
419,140,66,1,5,13.27,0.77
420,140,132,29,2,35.34,2.29
421,140,8,,2,6.4,0
422,141,71,18,6,29.01,8.3
423,141,76,,2,43.62,0
424,141,65,,3,23.55,0
425,142,27,26,2,16.6,3.82
426,142,185,,6,20.57,0
427,142,70,,4,56.2,0
428,142,52,,1,36.34,0
429,143,43,14,3,38.66,11.11
430,143,155,,3,35.41,0
431,143,102,26,2,29.82,1.61
432,143,92,5,3,46.11,2.98
433,144,3,,3,17.62,0
434,145,144,7,1,12.83,1.09
435,145,144,,6,15.19,0
436,146,147,,3,10.79,0
437,147,51,,3,44.64,0
438,147,108,,5,3.35,0
439,147,99,26,5,3.39,0.02
440,148,119,,5,6.06,0
441,149,11,,4,17.88,0
442,149,186,3,5,30.33,2.89
443,149,199,23,4,25.71,4.72
444,149,127,12,5,44.05,12.78
445,149,27,4,3,11.08,0.16
446,150,58,,3,36.84,0
447,150,138,,3,29.73,0
448,150,12,11,6,17.55,4.99
449,150,157,,2,4.72,0
450,151,118,19,4,6.71,0.64
451,151,164,,5,54.18,0
452,151,123,24,4,38.12,11.17
453,151,58,,3,34.53,0
454,151,143,,2,52.57,0
455,152,20,7,4,71.99,1.3
456,153,49,,5,17.72,0
457,153,132,15,6,37.21,8.49
458,153,40,30,3,33.79,1.07
459,153,99,,4,5.29,0
460,154,18,28,5,22.26,1.1
461,154,166,4,2,19.3,2.67
462,155,118,,4,7.09,0
463,156,68,7,2,42.16,6.96
464,156,102,9,3,42.47,6.47
465,156,26,,2,4.29,0
466,157,49,,4,16.76,0
467,157,133,,1,35.02,0
468,157,57,,2,20.06,0
469,158,137,,6,40.63,0
470,159,101,,6,10.26,0
471,159,69,21,3,19.15,0.98
472,159,181,,6,52.9,0
473,159,160,,2,30.23,0
474,160,81,15,2,32.97,1.65
475,160,4,9,1,60.86,7.81
476,161,174,16,5,4.07,0.01
477,161,1,27,1,5.66,0.42
478,162,175,,2,29.94,0
479,162,194,24,3,24.9,0.7
480,162,116,,6,22.99,0
481,162,125,,3,17.07,0
482,162,182,,5,19.1,0
483,163,29,,2,7.37,0
484,163,106,16,1,37.96,7.51
485,163,63,,2,2.73,0
486,163,191,4,3,2.5,0.69
487,164,116,30,6,30.24,7.95
488,164,90,,3,10.41,0
489,164,80,,5,32.79,0
490,164,32,,3,11.85,0
491,164,74,,2,22.73,0
492,165,175,,6,17.81,0
493,165,42,,1,27.8,0
494,165,117,,1,7.65,0
495,165,126,,1,25.52,0
496,166,65,,5,22.89,0
497,167,40,24,2,35.64,7.63
498,167,111,,3,33.27,0
499,167,64,,1,11.48,0
500,167,67,14,6,52.34,9.37
501,167,9999,,3,14.95,0
502,168,107,19,6,23.96,2.16
503,168,119,,4,7.21,0
504,169,36,,6,6.68,0
505,170,120,,4,12.33,0
506,170,8,,1,9.05,0
507,170,194,,5,24.78,0
508,171,96,,3,35.36,0
509,171,14,,1,7.79,0
510,171,119,,1,8.37,0
511,171,22,,3,24.53,0
512,171,153,,3,22.64,0
513,172,32,,1,14.25,0
514,173,133,,2,28.34,0
515,173,173,,6,51.15,0
516,174,125,5,5,21.79,1.31
517,175,134,,5,16.85,0
518,176,101,,2,7.91,0
519,176,61,,6,45.99,0
520,176,113,,6,51.85,0
521,176,6,,2,40.48,0
522,177,190,,3,12.26,0
523,177,171,9,4,38.34,6.77
524,177,99,,4,4.57,0
525,177,38,,1,1.03,0
526,177,149,,5,4.51,0
527,178,11,29,6,25.07,2.67
528,178,118,28,5,7.59,2.24
529,178,54,3,2,50.61,10.72
530,178,168,,4,13.9,0
531,179,72,,1,38.36,0
532,179,166,,2,25.52,0
533,180,182,,2,27.1,0
534,180,179,20,4,9.24,2.65
535,180,18,4,6,18.45,4.72
536,180,28,8,6,47.2,9.62
537,180,61,,4,28.4,0
538,181,17,24,1,20.92,1.57
539,181,114,,2,24.09,0
540,181,83,21,5,9.43,1.27
541,181,143,,3,35.15,0
542,182,52,,2,40.2,0
543,182,23,,2,2.78,0
544,183,36,,5,8.21,0
545,184,88,,6,14.33,0
546,185,128,,5,28.85,0
547,185,91,,1,1.3,0
548,185,113,3,2,40.32,4.55
549,185,133,20,5,31.9,1.13
550,185,85,27,3,18.35,4.52
551,186,181,18,5,35.11,52.66
552,186,62,,4,51.87,0
553,186,159,16,3,19.12,4.0
554,186,168,11,1,12.53,1.27
555,187,53,,6,14.99,0
556,187,16,,5,27.27,0
557,188,89,,5,7.9,0
558,189,142,,1,43.21,0
559,190,128,,3,36.04,0
560,191,6,,2,64.31,0
561,191,137,,1,58.03,0
562,192,124,,4,15.6,0
563,192,180,,5,35.41,0
564,192,95,,2,26.61,0
565,192,60,,5,18.76,0
566,192,146,,2,28.25,0
567,193,20,11,3,39.93,5.25
568,194,168,13,4,22.22,6.65
569,194,169,18,2,10.17,0.23
570,194,127,,2,40.78,0
571,194,114,,3,23.43,0
572,194,168,18,5,14.94,4.0
573,195,14,,4,6.06,0
574,196,21,,2,7.74,0
575,196,79,27,2,19.76,1.25
576,196,10,,4,2.72,0
577,197,6,13,3,50.51,0.51
578,198,16,,4,28.17,0
579,199,114,14,5,14.71,0.91
580,199,14,,1,7.39,0
581,199,156,,3,7.78,0
582,199,193,27,5,10.19,2.31
583,200,110,,1,61.11,0
584,200,142,,5,40.7,0
585,200,119,,3,6.67,0
586,200,42,,2,40.95,0
587,201,4,8,5,47.45,9.72
588,201,76,22,3,25.11,4.64
589,202,4,9,2,42.01,7.16
590,202,114,,3,20.17,0
591,202,123,,5,37.61,0
592,202,21,3,4,8.17,1.5
593,202,47,16,2,39.9,9.42
594,203,162,,2,14.73,0
595,203,30,,4,31.18,0
596,204,82,23,3,35.53,7.65
597,204,66,,5,7.26,0
598,204,184,17,4,21.5,1.51
599,204,29,12,6,8.69,0.62
600,204,107,1,3,16.89,2.16
601,205,93,,-4,26.84,0
602,205,76,,5,37.68,0
603,205,7,23,6,6.51,0.41
604,205,131,,4,28.65,0
605,205,150,21,1,4.42,0.96
606,206,58,,6,48.45,0
607,207,138,,1,26.05,0
608,207,156,,3,6.59,0
609,207,50,8,3,54.54,4.8
610,207,60,8,4,24.56,5.51
611,208,93,12,6,22.01,3.7
612,208,124,,5,23.2,0
613,208,33,,6,25.56,0
614,208,150,,3,6.93,0
615,209,31,,5,30.44,0
616,209,127,,4,39.12,0
617,209,4,,6,43.49,0
618,210,191,,1,2.53,0
619,210,177,,5,30.44,0
620,210,100,,5,26.81,0
621,210,62,,3,48.09,0
622,211,156,24,3,7.2,2.15
623,211,115,,4,24.62,0
624,211,75,,6,49.35,0
625,211,197,,2,31.56,0
626,211,2,,4,29.86,0
627,212,113,25,1,33.63,7.29
628,212,60,,5,22.04,0
629,212,149,13,3,5.18,1.44
630,213,37,,6,3.04,0
631,213,54,,3,53.5,0
632,214,89,15,2,5.24,0.19
633,215,74,,1,38.52,0
634,215,60,27,5,27.93,1.18
635,216,8,,5,7.63,0
636,216,50,7,3,30.97,7.73
637,217,110,,3,59.45,0
638,217,29,29,4,9.8,2.7
639,217,127,,6,30.7,0
640,217,172,26,2,38.04,4.04
641,217,187,15,6,24.2,1.14
642,218,173,30,1,55.23,11.71
643,218,111,18,6,10.56,1.65
644,218,161,5,5,17.25,3.28
645,218,97,16,2,47.28,3.12
646,218,125,7,6,24.22,5.33
647,219,133,3,4,44.8,10.07
648,220,157,,3,3.26,0
649,220,158,,4,42.33,0
650,220,136,8,3,7.35,0.4
651,220,172,12,0,49.72,11.88
652,220,124,,3,18.94,0
653,221,115,15,3,17.4,3.46
654,221,170,,4,27.03,0
655,221,126,9,5,30.95,6.38
656,221,56,25,3,65.23,15.32
657,222,173,,4,41.59,0
658,222,67,,3,52.14,0
659,222,163,,5,39.0,0
660,223,138,,5,18.49,0
661,223,157,24,1,3.56,0.65
662,224,24,25,5,14.58,1.46
663,224,17,7,2,31.75,4.94
664,224,138,6,3,21.21,4.57
665,224,85,1,1,24.84,4.12
666,225,194,16,1,40.97,1.26
667,226,73,,2,19.18,0
668,226,9,,6,35.3,0
669,227,34,,1,38.86,0
670,227,19,,1,28.71,0
671,227,4,,1,63.52,0
672,227,189,,3,41.56,0
673,228,109,7,1,26.0,0.18
674,228,68,14,1,72.02,12.45
675,228,57,,6,34.32,0
676,229,130,,4,35.85,0
677,229,96,,5,53.92,0
678,229,7,19,1,8.1,0.56
679,229,165,,1,28.54,0
680,229,25,,5,6.63,0
681,230,22,,6,26.39,0
682,230,146,,4,46.13,0
683,231,190,19,5,9.77,0.44
684,231,105,18,4,60.05,4.83
685,231,140,15,6,21.77,6.27
686,232,132,,1,31.39,0
687,232,109,,2,29.05,0
688,232,134,,1,26.15,0
689,232,10,,5,2.6,0
690,233,36,10,1,7.61,1.25
691,233,112,,3,24.72,0
692,233,134,,2,20.07,0
693,233,37,,6,3.71,0
694,234,133,11,6,38.97,5.52
695,234,185,23,4,27.23,7.58
696,234,3,,1,20.29,0
697,235,180,,3,29.8,0
698,235,25,12,6,4.61,0.65
699,235,144,7,3,21.95,2.27
700,236,110,,4,54.62,0
701,236,66,9999,2,10.85,2.09
702,236,27,4,2,18.07,1.52
703,237,151,,5,17.67,0
704,237,155,,6,25.22,0
705,237,122,7,1,25.49,0.02
706,237,158,,3,35.57,0
707,237,20,,4,69.33,0
708,238,171,,2,50.38,0
709,238,144,,3,16.48,0
710,238,80,20,2,49.47,4.7
711,238,43,,4,39.76,0
712,239,114,,5,20.52,0
713,239,112,,4,20.64,0
714,239,198,18,2,58.11,12.7
715,239,98,,2,7.42,0
716,239,114,,3,18.84,0
717,240,95,9,1,37.06,5.59
718,241,165,,3,31.98,0
719,241,71,,6,31.68,0
720,241,121,,4,26.14,0
721,242,27,,2,11.17,0
722,242,181,,1,69.67,0
723,242,15,28,5,43.69,9.31
724,242,72,,1,42.43,0
725,242,86,23,2,25.51,6.49
726,243,185,,4,26.55,0
727,243,107,27,5,28.1,5.65
728,243,38,,3,1.67,0
729,243,156,24,1,5.43,0.82
730,243,80,19,6,34.93,3.67
731,244,145,,2,16.26,0
732,245,48,6,1,35.72,6.71
733,246,164,,2,51.63,0
734,246,79,,2,20.79,0
735,247,80,5,5,29.26,6.2
736,247,81,7,2,27.98,7.01
737,248,67,,5,46.52,0
738,248,94,,6,16.91,0
739,248,176,,4,37.57,0
740,249,138,,6,23.69,0
741,249,175,,5,27.13,0
742,250,191,,3,4.01,0
743,250,56,22,6,51.28,0.48
744,250,48,19,4,39.74,5.57
745,250,169,,6,14.1,0
746,250,92,,3,67.77,0
747,251,166,6,4,32.35,1.82
748,251,140,,4,17.46,0
749,251,152,27,2,36.9,4.82
750,252,186,,3,31.92,0
751,252,11,,5,,0
752,252,28,,4,44.86,0
753,253,8,20,6,5.66,0.28
754,253,135,,2,37.12,0
755,253,170,,3,31.99,0
756,253,197,15,1,23.1,2.4
757,253,169,3,2,10.38,2.75
758,254,53,18,3,13.97,3.03
759,254,2,,6,27.79,0
760,255,179,15,6,8.51,1.21
761,255,63,25,2,3.04,0.09
762,255,103,,6,63.61,0
763,255,109,22,6,27.38,4.39
764,256,7,,3,7.14,0
765,256,93,,4,26.93,0
766,256,20,7,3,60.56,2.51
767,256,112,5,3,13.99,1.61
768,256,80,14,2,37.84,9.32
769,257,102,,1,47.29,0
770,257,89,,1,6.77,0
771,258,82,,1,38.27,0
772,258,125,,1,22.18,0
773,259,109,,4,21.87,0
774,259,129,18,3,14.49,2.06
775,259,29,,4,10.18,0
776,260,39,,3,1.2,0
777,261,132,,1,36.34,0
778,261,119,,3,6.04,0
779,262,154,10,1,25.17,1.91
780,263,69,11,3,15.31,1.64
781,263,163,,5,22.95,0
782,263,190,,2,10.17,0
783,263,187,,3,25.67,0
784,263,118,,6,9.89,0
785,264,146,5,5,38.57,0.89
786,264,186,24,1,37.71,9.98
787,264,87,,1,64.86,0
788,264,48,,1,51.86,0
789,264,111,,5,87.03,0
790,265,139,,3,7.86,0
791,265,147,,6,8.5,0
792,265,177,,5,45.33,0
793,265,103,14,2,68.28,13.89
794,265,5,15,5,43.45,8.57
795,266,25,3,5,5.26,0.03
796,266,74,,4,34.5,0
797,266,163,,5,34.42,0
798,267,88,,4,16.08,0
799,268,54,13,1,57.09,2.91
800,268,170,,5,43.71,0
801,99999,89,,3,4.47,0
802,268,75,,2,49.17,0
803,269,150,,1,4.95,0
804,269,193,,2,12.51,0
805,269,97,,1,48.47,0
806,269,25,10,2,5.96,0.38
807,269,41,,3,76.7,0
808,270,108,,6,5.52,0
809,270,28,,6,52.11,0
810,271,129,,4,16.11,0
811,271,194,,2,31.32,0
812,271,103,15,6,47.0,7.51
813,272,175,,4,28.74,0
814,272,106,20,5,24.9,0.22
815,273,21,,3,10.12,0
816,273,157,,1,3.36,0
817,273,95,,4,20.51,0
818,273,142,,4,44.11,0
819,273,95,,6,33.49,0
820,274,83,19,4,9.63,0.19
821,274,118,,2,7.41,0
822,275,129,,2,17.16,0
823,275,63,2,6,2.54,0.73
824,275,174,,4,3.29,0
825,275,19,,5,33.75,0
826,276,184,,1,35.44,0
827,277,124,,6,26.26,0
828,277,197,,6,21.19,0
829,277,167,28,3,30.93,7.31
830,277,195,6,3,42.62,9.64
831,278,169,,2,12.01,0
832,278,68,29,6,41.42,7.98
833,278,126,23,4,33.73,7.66
834,278,85,,5,31.05,0
835,279,195,29,3,27.32,4.28
836,280,93,,5,34.01,0
837,280,163,,2,28.47,0
838,280,191,,4,4.03,0
839,280,66,10,2,11.35,0.1
840,280,150,,5,4.34,0
841,281,123,5,5,37.19,1.9
842,281,129,,4,13.9,0
843,281,166,29,4,20.39,3.21
844,281,4,7,2,60.95,1.18
845,282,72,7,3,34.74,7.6
846,282,128,,6,34.95,0
847,283,59,21,1,16.79,1.83
848,283,85,,6,26.4,0
849,283,138,19,5,28.05,8.17
850,283,64,30,6,8.05,1.93
851,283,63,20,3,2.16,3.24
852,284,72,,1,24.12,0
853,284,34,19,5,32.82,0.6
854,284,123,,3,33.82,0
855,284,163,,4,23.72,0
856,284,51,,3,41.25,0
857,285,3,,6,55.28,0
858,285,50,,1,47.52,0
