product_id,sku_number,product_description,brand_id,category_id,package_size,weight,weight_unit_of_measure,unit_cost
35,SKU-100035,Sugar Free Vitamin C Tablets,25,13,Family Size,1872.25,Grams,14.63
36,SKU-100036,Deluxe Flower Bouquet,18,5,1kg,444.03,G,3.46
37,SKU-100037,Light Ground Beef,9,1,Family Size,694.07,gr,2.25
38,SKU-100038,Fresh Bread Loaf,3,6,Family Size,1549.01,gr,0.77
39,SKU-100039,Organic Ice Cream Tub,32,5,500g,1157.53,g,0.92
40,SKU-100040,Sugar Free Chips Bag,13,6,Twin Pack,707.37,kg,14.58
41,SKU-100041,Classic Flower Bouquet,29,9,350ml,1874.86,g,
42,SKU-100042,Deluxe Vitamin C Tablets,19,13,Family Size,361.45,gr,16.7
43,SKU-100043,Deluxe Bananas,6,17,1kg,968.11,kg,16.33
44,SKU-100044,Deluxe Milk Carton,14,19,Single,370.85,g,14.14
45,SKU-100045,Classic Canned Corn,1,8,Single,1623.48,Grams,29.59
46,SKU-100046,Sugar Free Soda Pack,9,20,Twin Pack,970.54,gr,16.41
47,SKU-100047,Whole Grain Ground Beef,26,17,Twin Pack,1324.39,g,24.79
48,SKU-100048,Whole Grain Chicken Breast,8,2,500g,532.65,G,21.25
49,SKU-100049,Classic Canned Corn,14,2,1kg,144.92,kg,9.4
50,SKU-100050,Deluxe Bread Loaf,18,2,1kg,329.36,kg,23.68
51,SKU-100051,Original Soda Pack,25,6,500g,671.53,Grams,29.05
52,SKU-100052,Family Size Canned Corn,14,12,Single,1136.71,g,18.35
53,SKU-100053,Organic Bananas,14,16,350ml,127.12,G,7.66
54,SKU-100054,Diet Canned Corn,21,9,500g,1228.58,Grams,29.45
55,SKU-100055,Whole Grain Bananas,27,2,Family Size,965.51,Grams,10.23
56,SKU-100056,Diet Pasta Box,22,9,Twin Pack,790.69,G,27.55
57,SKU-100057,Classic Rice Bag,,3,Single,1107.17,G,13.95
58,SKU-100058,Fresh Pasta Box,2,1,1kg,167.88,g,24.49
59,SKU-100059,Family Size Ground Beef,10,8,1kg,1364.36,Grams,7.67
60,SKU-100060,Sugar Free Cheese Block,3,9999,500g,1409.61,gr,13.3
61,SKU-100061,Fresh Ground Beef,3,8,Twin Pack,-1579.53,Grams,19.91
62,SKU-100062,Whole Grain Cereal,10,13,350ml,399.74,G,22.32
63,SKU-100063,Organic Rice Bag,23,2,500g,1591.47,Grams,1.37
64,SKU-100064,Light Pasta Box,25,15,Twin Pack,582.99,g,5.05
65,SKU-100065,Family Size Canned Corn,7,9999,350ml,1437.77,Grams,15.62
66,SKU-100066,Organic Frozen Pizza,21,13,350ml,251.42,g,5.5
67,SKU-100067,Family Size Flower Bouquet,32,6,Family Size,792.43,gr,21.77
68,SKU-100068,Fresh Bananas,9,10,500g,1016.81,gr,29.24
69,SKU-100069,Whole Grain Coffee Bag,13,16,Family Size,315.44,Grams,10.11
70,SKU-100070,Original Frozen Pizza,13,19,Family Size,596.59,gr,24.66
71,SKU-100071,Original Pasta Box,20,8,Twin Pack,1601.53,gr,15.45
72,SKU-100072,Original Cookies Pack,,13,1kg,1844.76,g,17.11
73,SKU-100073,Original Ice Cream Tub,28,5,Single,1307.81,kg,11.54
74,SKU-100074,Fresh Rice Bag,2,16,350ml,952.97,g,15.87
75,SKU-100075,Organic Milk Carton,29,11,350ml,729.19,g,22.34
76,SKU-100076,Deluxe Apples,28,16,500g,1056.19,gr,
77,SKU-100077,Diet Bananas,5,19,1kg,58.68,Grams,28.99
78,SKU-100078,Original Coffee Bag,8,12,500g,661.14,Grams,9.51
79,SKU-100079,Family Size Rice Bag,9,19,500g,406.94,kg,9.02
80,SKU-100080,Light Coffee Bag,,12,500g,414.84,gr,21.45
81,SKU-100081,Family Size Cheese Block,15,9,350ml,915.51,Grams,15.57
82,SKU-100082,Sugar Free Cookies Pack,24,18,Twin Pack,1166.79,G,26.31
83,SKU-100083,Sugar Free Frozen Pizza,6,15,Family Size,112.85,Grams,6.6
84,SKU-100084,Classic Chips Bag,18,19,Family Size,453.54,Grams,24.55
85,SKU-100085,Original Yogurt,9,5,Family Size,314.4,gr,13.83
86,SKU-100086,Organic Canned Corn,18,13,500g,1285.57,g,11.07
87,SKU-100087,Deluxe Canned Corn,28,8,350ml,173.49,Grams,26.88
88,SKU-100088,Classic Ground Beef,30,1,Family Size,1536.4,g,9.41
89,SKU-100089,Sugar Free Cheese Block,17,9999,Twin Pack,1755.13,gr,3.19
90,SKU-100090,Diet Pasta Box,,19,1kg,235.61,g,4.4
91,SKU-100091,Original Cheese Block,7,5,350ml,188.12,gr,0.75
92,SKU-100092,Light Frozen Pizza,10,14,Twin Pack,1317.54,g,28.92
93,SKU-100093,Family Size Bread Loaf,6,8,1kg,663.28,Grams,15.77
94,SKU-100094,Original Vitamin C Tablets,16,16,Single,1043.57,kg,9.84
95,SKU-100095,Fresh Soda Pack,12,16,Single,804.33,g,15.45
96,SKU-100096,Deluxe Soda Pack,26,9999,1kg,1275.71,G,24.34
97,SKU-100097,Original Chips Bag,5,10,500g,1095.96,G,20.15
98,SKU-100098,Family Size Ground Beef,,5,Single,1333.2,Grams,4.24
99,SKU-100099,Sugar Free Ground Beef,2,12,350ml,1573.19,Grams,2.14
100,SKU-100011,Family Size Frozen Pizza,7,19,Twin Pack,1725.75,kg,11.24
101,SKU-100101,Family Size Yogurt,27,8,Family Size,1844.44,Grams,5.79
102,SKU-100102,Classic Canned Corn,,16,350ml,1618.46,kg,22.32
103,SKU-100103,Whole Grain Chips Bag,13,18,Family Size,523.04,g,28.55
104,SKU-100104,Original Vitamin C Tablets,16,14,Single,52.85,g,11.49
105,SKU-100105,Organic Chips Bag,,5,500g,1950.38,kg,25.6
106,SKU-100106,Original Ice Cream Tub,18,8,Family Size,1855.78,g,16.31
107,SKU-100107,Diet Milk Carton,17,5,Family Size,1931.04,g,12.19
108,SKU-100108,Sugar Free Flower Bouquet,12,1,500g,145.45,G,2.32
109,SKU-100109,Diet Chicken Breast,26,13,Twin Pack,1572.87,kg,13.58
110,SKU-100110,Whole Grain Ground Beef,,16,Family Size,301.14,gr,27.29
111,SKU-100111,Light Chicken Breast,,20,Family Size,586.21,gr,
112,SKU-100112,Deluxe Bread Loaf,2,13,350ml,1775.07,gr,9.91
113,SKU-100113,Sugar Free Yogurt,31,17,1kg,477.09,g,22.24
114,SKU-100114,Diet Chips Bag,25,12,Family Size,1539.9,Grams,10.87
115,SKU-100115,Family Size Chips Bag,32,18,Family Size,1156.92,g,10.29
116,SKU-100116,Family Size Ice Cream Tub,21,2,Family Size,1247.56,g,12.17
117,SKU-100117,Sugar Free Ice Cream Tub,11,15,500g,247.01,kg,5.67
118,SKU-100118,Sugar Free Chicken Breast,1,19,1kg,648.31,kg,4.65
119,SKU-100119,Diet Frozen Pizza,11,20,Twin Pack,1503.42,g,3.69
120,SKU-100120,Original Milk Carton,11,14,500g,52.5,gr,7.15
121,SKU-100121,Classic Vitamin C Tablets,,9,Single,930.01,gr,10.47
122,SKU-100122,Light Cereal,11,19,Family Size,1971.29,Grams,16.43
123,SKU-100123,Sugar Free Bread Loaf,,13,1kg,1338.17,g,18.21
124,SKU-100124,Classic Bananas,19,9999,Single,439.37,gr,11.45
125,SKU-100125,Family Size Milk Carton,,15,350ml,793.82,kg,10.64
126,SKU-100126,Fresh Bread Loaf,25,17,1kg,1105.83,G,15.31
127,SKU-100127,Fresh Coffee Bag,29,6,Family Size,1805.89,g,19.0
128,SKU-100128,Sugar Free Ice Cream Tub,5,9999,1kg,1676.51,Grams,18.88
129,SKU-100129,Original Ground Beef,10,19,1kg,1069.0,kg,8.29
130,SKU-100130,Fresh Coffee Bag,12,9,Family Size,1326.84,gr,22.5
131,SKU-100131,Whole Grain Cereal,20,10,500g,-1845.63,G,12.79
132,SKU-100132,Diet Milk Carton,27,16,350ml,1308.83,G,15.97
133,SKU-100133,Family Size Bananas,13,2,Single,1158.91,Grams,19.24
134,SKU-100134,Classic Bread Loaf,29,6,1kg,291.55,Grams,11.9
135,SKU-100135,Fresh Bananas,15,21,350ml,367.67,g,24.13
136,SKU-100136,Fresh Vitamin C Tablets,18,15,350ml,486.35,G,3.52
137,SKU-100137,Whole Grain Cookies Pack,19,10,Single,1047.45,Grams,28.59
138,SKU-100138,Diet Chicken Breast,16,2,500g,1320.36,g,11.95
139,SKU-100139,Fresh Bananas,15,21,Twin Pack,118.87,kg,3.38
140,SKU-100140,Sugar Free Cookies Pack,12,21,Twin Pack,299.49,Grams,11.46
141,SKU-100141,Light Ground Beef,5,16,1kg,1191.86,kg,6.41
142,SKU-100142,Fresh Milk Carton,12,9999,350ml,847.92,g,23.05
143,SKU-100143,Organic Chicken Breast,28,13,500g,1004.68,g,22.83
144,SKU-100144,Classic Cereal,16,8,350ml,1085.52,g,9.3
145,SKU-100145,Deluxe Coffee Bag,28,21,350ml,617.11,G,6.73
146,SKU-100146,Deluxe Apples,3,13,350ml,92.73,g,20.85
147,SKU-100147,Original Ground Beef,31,6,Twin Pack,862.71,gr,4.55
148,SKU-100148,Organic Rice Bag,8,9,Single,1669.77,kg,12.59
149,SKU-100149,Deluxe Pasta Box,31,12,Single,362.73,g,2.71
150,SKU-100150,Sugar Free Bread Loaf,19,9,Single,1460.97,g,3.3
151,SKU-100151,Classic Cereal,11,9999,500g,1528.5,g,8.52
152,SKU-100152,Light Soda Pack,11,5,Twin Pack,802.15,g,18.53
153,SKU-100153,Fresh Cereal,9,16,Single,1569.37,g,15.98
154,SKU-100154,Fresh Bread Loaf,22,17,Twin Pack,1500.07,gr,11.85
155,SKU-100155,Deluxe Coffee Bag,,20,1kg,1686.11,G,15.45
156,SKU-100156,Original Canned Corn,6,16,1kg,1123.47,gr,3.53
157,SKU-100157,Deluxe Cookies Pack,,9999,1kg,854.06,kg,2.1
158,SKU-100158,Light Ice Cream Tub,31,21,Twin Pack,484.69,g,24.1
159,SKU-100159,Whole Grain Ground Beef,,6,Family Size,1118.0,Grams,13.98
160,SKU-100160,Whole Grain Ground Beef,3,20,1kg,1573.77,gr,16.15
161,SKU-100161,Original Chips Bag,12,19,Twin Pack,144.71,gr,12.85
162,SKU-100162,Diet Flower Bouquet,22,9,Family Size,1237.54,kg,9.76
163,SKU-100163,Deluxe Bananas,19,21,Twin Pack,1486.8,kg,17.09
164,SKU-100164,Original Cookies Pack,28,1,Single,1186.47,G,29.51
165,SKU-100165,Family Size Yogurt,19,8,Single,1382.61,g,17.06
166,SKU-100166,Sugar Free Yogurt,25,14,350ml,513.31,g,13.57
167,SKU-100167,Whole Grain Chips Bag,13,7,500g,489.82,G,16.92
168,SKU-100168,Fresh Flower Bouquet,,16,Family Size,303.63,Grams,9.38
169,SKU-100169,Deluxe Frozen Pizza,,11,Family Size,1590.32,g,7.03
170,SKU-100170,Whole Grain Ice Cream Tub,14,20,500g,466.04,g,18.82
171,SKU-100171,Whole Grain Canned Corn,8,13,1kg,1919.85,kg,27.0
172,SKU-100172,Deluxe Cheese Block,11,18,Single,425.4,G,26.42
173,SKU-100173,Original Cheese Block,10,1,Twin Pack,1495.68,g,24.74
174,SKU-100174,Original Canned Corn,26,15,Single,1826.42,kg,1.84
175,SKU-100175,Whole Grain Rice Bag,20,19,350ml,1704.09,gr,12.03
176,SKU-100176,Deluxe Vitamin C Tablets,10,10,Twin Pack,1605.09,kg,16.35
177,SKU-100177,Sugar Free Bananas,23,8,Twin Pack,1896.61,G,20.29
178,SKU-100178,Classic Cookies Pack,5,9,Single,1156.22,G,19.84
179,SKU-100179,Fresh Cheese Block,21,16,350ml,245.09,kg,5.47
180,SKU-100180,Diet Soda Pack,24,5,Twin Pack,660.77,gr,19.54
181,SKU-100181,Sugar Free Chicken Breast,13,9,Twin Pack,209.85,g,
182,SKU-100182,Deluxe Flower Bouquet,31,20,350ml,1817.29,kg,11.23
183,SKU-100183,Diet Coffee Bag,9,15,Family Size,70.65,G,14.89
184,SKU-100184,Whole Grain Bread Loaf,,8,350ml,172.58,gr,15.88
185,SKU-100185,Sugar Free Chips Bag,12,13,500g,1667.81,g,10.91
186,SKU-100186,Light Pasta Box,1,17,500g,1742.05,g,18.26
187,SKU-100187,Diet Soda Pack,8,16,500g,1643.06,kg,17.42
188,SKU-100188,Deluxe Yogurt,10,2,350ml,364.2,gr,24.73
189,SKU-100189,Diet Milk Carton,31,16,Family Size,1897.15,G,20.72
190,SKU-100190,Fresh Chips Bag,,13,Family Size,1848.59,G,5.73
191,SKU-100191,Fresh Yogurt,8,9999,Twin Pack,1808.14,kg,1.78
192,SKU-100192,Diet Pasta Box,25,12,Twin Pack,1083.14,gr,8.86
193,SKU-100193,Original Flower Bouquet,1,19,Single,1759.69,gr,5.07
194,SKU-100194,Sugar Free Flower Bouquet,28,19,1kg,1320.57,G,16.87
195,SKU-100195,Sugar Free Chips Bag,26,5,Single,544.87,G,18.61
196,SKU-100196,Classic Apples,1,9999,500g,1384.9,g,11.84
197,SKU-100197,Fresh Rice Bag,4,6,500g,1969.67,G,15.72
198,SKU-100198,Family Size Yogurt,1,6,350ml,501.76,gr,27.62
199,SKU-100199,Deluxe Chips Bag,18,8,Family Size,1121.71,kg,15.34
200,SKU-100200,Organic Rice Bag,17,15,1kg,712.93,Grams,3.93
